nobs	Serial number	Boolean expression	Bnet exp	No of inputs	BF_as_int	NCF	Chain	Chain_1
30.0	1.0	i1 & i2 & i3	i1 and i2 and i3	3	1	True	True	False
20.0	2.0	i1 & i2 & !i3	i1 and i2 and not i3	3	4	True	True	False
10.0	3.0	i1 & i2 & i3 & i4	i1 and i2 and i3 and i4	4	1	True	True	False
9.0	4.0	i1 & (i2 | i3)	i1 and (i2 or i3)	3	7	True	False	False
7.0	5.0	i1 & i2 & i3 & !i4	i1 and i2 and i3 and not i4	4	16	True	True	False
6.0	6.0	i1 & i2	i1 and i2	2	1	True	True	False
6.0	7.0	i1 & i2 & !(i3 & i4)	i1 and i2 and not (i3 and i4)	4	84	True	True	False
5.0	8.0	I1 & !(i2 & i3)	i1 and not (i2 and i3)	3	14	True	True	False
5.0	9.0	i1 & i2 & i3 & i4 & !i5	i1 and i2 and i3 and i4 and not i5	5	65536	True	True	False
3.0	10.0	i1 & !i2	i1 and not i2	2	2	True	True	True
3.0	11.0	i1 & !(i2 | i3)	i1 and not (i2 or i3)	3	8	True	False	True
3.0	12.0	i1 & (!i2 | i3)	i1 and (not i2 or i3)	3	11	True	True	False
3.0	13.0	i1 & i2 & (!i3 | i4)	i1 and i2 and (not i3 or i4)	4	69	True	True	False
3.0	14.0	i1 & !i2 & (i3 | i4)	i1 and not i2 and (i3 or i4)	4	42	True	False	False
3.0	15.0	i1 & i2 & i3 & i4 & i5	i1 and i2 and i3 and i4 and i5	5	1	True	True	False
2.0	16.0	i1	i1 	1	1	True	True	True
2.0	17.0	i1 & i2 & !(i3 or i4)	i1 and i2 and not (i3 or i4)	4	64	True	False	False
2.0	18.0	i1 & i2 & ((!i3 & i4 ) | (!i4 & i5))	i1 and i2 and (not i3 and i4 or not i4 and i5)	5	262228	False	False	False
1.0	19.0	!i1 | (i2 & i4)	not i1 or i2 and i4	3	241	True	True	False
1.0	20.0	i1 & !(i2 | (i3 & i4))	i1 and not (i2 or i3 and i4)	4	168	True	False	False
1.0	21.0	i1 & (i2 | (i3 & i4))	i1 and (i2 or i3 and i4)	4	87	True	False	False
1.0	22.0	i1 & (i2 | i3 |i4)	i1 and (i2 or i3 or i4)	4	127	True	False	False
1.0	23.0	!i1 | i2 | (i3 & !i5)	not i1 or i2 or i3 and not i5	4	63477	True	False	False
1.0	24.0	i1 & i2 & i3 & !(i4 & i5)	i1 and i2 and i3 and not (i4 and i5)	5	1114128	True	True	False
1.0	25.0	i1 & i2 & i3 & !(i4 | i5)	i1 and i2 and i3 and not (i4 or i5)	5	1048576	True	False	False
1.0	26.0	i1 & i2 & i3 & (i4 | i5)	i1 and i2 and i3 and (i4 or i5)	5	65553	True	False	False
1.0	27.0	i1 & i2 & !(i3 & i4 & i5)	i1 and i2 and not (i3 and i4 and i5)	5	5570644	True	True	False
1.0	28.0	i1 & i2 & !(i3 | (i4 & i5))	i1 and i2 and not (i3 or i4 and i5)	5	4456512	True	False	False
1.0	29.0	i1 & i2 & !i3 & (!i4 | i5)	i1 and i2 and not i3 and (not i4 or i5)	5	4194372	True	False	False
1.0	30.0	i1 & !(i2 & i3 & i4 & !i5)	i1 and not (i2 and i3 and i4 and not i5)	5	16646399	True	True	False
1.0	31.0	i1 & !i2 & (i3 | (i4 & !i5))	i1 and not i2 and (i3 or i4 and not i5)	5	2752546	True	False	False
1.0	32.0	i1 & i2 & ((i3 & !i4) | (!i3 & i4))	i1 and i2 and (i3 xor i4)	4	20	False	False	False
1.0	33.0	i1 & ((i2  & !i3) | (i3 & !i2) and i4)	i1 and (i2 xor i3 and i4)	4	70	False	False	False
1.0	34.0	i1 & ((i2 & i3) | (i3 & !i4) | (i2 & !i4))	i1 and (2≤)(i2, i3, not i4)	4	113	False	False	False
1.0	35.0	!i1 & ((i2 & !i3 ) | i3 (& !(i4 | i5)))	not i1 and [i2 and not i3 or i3 and not(i4 or i5)] 	5	1946174464	False	False	False
