nodename	pmid	model	k	BF as int	UF	EUF	EUCF	UCF	EF	ECF	NCF	Chain	Chain_1	bias	Chain-U
v_APAF1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_APAF1_CYCS	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_APAF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ATF2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Apoptosis	18433497	1	4	32767	True	True	True	True	True	True	True	False	True	15	True
v_Apoptosome	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_BAD	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BAG4	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_BAG4_TNFRSF1A	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_BAK1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BAK1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BAX	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BBC3gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2A1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2A1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2L1_BAD	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_BCL2L1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2L1mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL2_BAX	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_BCL3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BCL3_NFKB2p52_NFKB2p52	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_BID	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BIRC2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BIRC3gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_BIRC4cytoplasm	18433497	1	2	8	True	True	True	True	True	True	True	False	True	1	True
v_BIRC4gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CASP1	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CASP10	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CASP2	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CASP3cytoplasm	18433497	1	4	5461	True	True	True	True	True	True	True	False	False	7	False
v_CASP3gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_CASP3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CASP4	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CASP6cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CASP6nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CASP7cytoplasm	18433497	1	4	127	True	True	True	True	True	True	True	False	False	7	False
v_CASP7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CASP8	18433497	1	5	32767	True	True	True	True	True	True	True	False	False	15	False
v_CASP9	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CBP	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CCL5gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CD40	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CD40_CD40LG	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CD40_CD40LG_TRAF3	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CFLAR	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CFLARgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CHUK	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CHUK_CHUK	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CIITAgene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_CKII	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CREBBP	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CXCL10gene	18433497	1	4	21887	True	True	True	True	True	True	True	False	False	11	False
v_CXCL11gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
