k	ALL	NCF	Chain	Chain_1	Chain_U	Non-Chain_U_NCF	NCF_in_all	Chain_in_NCF	Chain_1_in_NCF	Chain_U_in_NCF	Non-Chain_U_NCF_in_NCF
1	1998	1998	1998	1998	1998	0	1.0	1.0	1.0	1.0	0.0
2	1636	1625	1045	986	1625	0	0.9932762836185819	0.6430769230769231	0.6067692307692307	1.0	0.0
3	915	886	279	467	746	140	0.9683060109289617	0.3148984198645598	0.5270880361173815	0.8419864559819413	0.1580135440180587
4	558	502	97	218	315	187	0.899641577060932	0.19322709163346613	0.4342629482071713	0.6274900398406374	0.37250996015936255
5	366	297	31	152	183	114	0.8114754098360656	0.10437710437710437	0.5117845117845118	0.6161616161616161	0.3838383838383838
6	224	158	25	64	89	69	0.7053571428571429	0.15822784810126583	0.4050632911392405	0.5632911392405063	0.43670886075949367
7	119	80	7	22	29	51	0.6722689075630253	0.0875	0.275	0.3625	0.6375
8	80	50	3	24	27	23	0.625	0.06	0.48	0.54	0.46
9	53	29	0	13	13	16	0.5471698113207547	0.0	0.4482758620689655	0.4482758620689655	0.5517241379310345
10	41	16	0	9	9	7	0.3902439024390244	0.0	0.5625	0.5625	0.4375
